epoch,loss,val_loss
0,0.0004889267391430268,0.0001986341958399862
1,0.00019779775668347019,0.00016831207904033363
2,0.0001661839277543426,0.00016826888895593584
3,0.00014620785832221992,0.00013482436770573258
4,0.00013262459415969556,0.00012858165428042412
5,0.00012287850985150938,0.0001204297732328996
6,0.00011579769380713894,0.00011354198795743287
7,0.00011050309932189406,0.00011449716112110764
8,0.00010695235438326156,0.00011053132766392082
9,0.00010389784277005356,0.00010555557673797011
10,0.00010166701302949556,0.00010375454439781606
11,9.961790701360849e-05,0.000101715479104314
12,9.792834207194053e-05,0.00010174186172662303
13,9.624626453196205e-05,9.896469418890774e-05
14,9.491158978667707e-05,9.777933883015066e-05
15,9.379728213455573e-05,9.815059456741437e-05
16,9.242366458401219e-05,9.494247933616862e-05
17,9.148651070325427e-05,9.939757001120597e-05
18,9.051979765323108e-05,9.276430500904098e-05
19,8.953594098057489e-05,9.586156375007704e-05
20,8.875806075899445e-05,9.154969302471727e-05
21,8.813500584581261e-05,9.046249033417553e-05
22,8.745891158536836e-05,9.152277925750241e-05
23,8.679160843840665e-05,9.035567927639931e-05
24,8.607655303418248e-05,9.175728337140754e-05
25,8.575743040509603e-05,8.940653060562909e-05
26,8.49442349790903e-05,9.174631850328296e-05
27,8.452906353191193e-05,9.210407006321475e-05
28,8.403293917247194e-05,8.810450526652858e-05
29,8.349665919973207e-05,0.00010295965330442414
30,8.289868943802944e-05,8.67285270942375e-05
31,8.264693228801423e-05,9.483243047725409e-05
32,8.202648806788063e-05,8.704350329935551e-05
33,8.165883300283435e-05,8.714725117897615e-05
34,8.129348719206602e-05,8.993371739052236e-05
35,8.09754057622908e-05,8.747601532377303e-05
36,8.067892316793255e-05,8.706279186299071e-05
37,8.031004004426824e-05,8.463592530461028e-05
38,8.000219512283824e-05,8.757816249271855e-05
39,7.964843949365194e-05,8.487354352837428e-05
40,7.931164012107438e-05,8.701316983206198e-05
41,7.892251618091216e-05,8.311834972118959e-05
42,7.874438909243552e-05,8.486255683237687e-05
43,7.839401975526696e-05,8.688859088579193e-05
44,7.818257255065458e-05,8.429357694694772e-05
45,7.779872915492782e-05,8.462889672955498e-05
46,7.760301739857894e-05,8.415374759351835e-05
47,7.730506902907577e-05,8.227493526646867e-05
48,7.720546162866951e-05,8.681363397045061e-05
49,7.717648883705091e-05,8.590936340624467e-05
50,7.149277499634478e-05,7.820077735232189e-05
51,7.08850243799637e-05,7.797204307280481e-05
52,7.071900181398836e-05,7.775887206662446e-05
53,7.055742613619727e-05,7.766724593238905e-05
54,7.047347110776384e-05,7.775597623549402e-05
55,7.039591855255354e-05,7.750764052616432e-05
56,7.031394271863833e-05,7.752057717880234e-05
57,7.023050520739753e-05,7.748051575617865e-05
58,7.020461173342129e-05,7.746011397102848e-05
59,7.014797920303519e-05,7.762244058540091e-05
60,7.006553253048728e-05,7.745595212327316e-05
61,7.00069816633878e-05,7.728674972895533e-05
62,6.995255990545559e-05,7.74261134210974e-05
63,6.993183316343613e-05,7.746747724013403e-05
64,6.984736045694783e-05,7.726639159955084e-05
65,6.982434891775766e-05,7.724163879174739e-05
66,6.978848078825005e-05,7.736890256637707e-05
67,6.974496350047807e-05,7.72277417127043e-05
68,6.966622475869795e-05,7.750093209324405e-05
69,6.962983217728957e-05,7.739551074337214e-05
70,6.960210381886692e-05,7.806316716596484e-05
71,6.95646197539336e-05,7.737598207313567e-05
72,6.958223225744396e-05,7.71079066907987e-05
73,6.949234162078655e-05,7.711324724368751e-05
74,6.947300559942818e-05,7.709360943408683e-05
75,6.943192799328103e-05,7.713527884334326e-05
76,6.93758181126187e-05,7.707660552114248e-05
77,6.93393544767513e-05,7.71386839915067e-05
78,6.93318839125602e-05,7.739006832707673e-05
79,6.929091070948205e-05,7.705495954724029e-05
80,6.926295563515878e-05,7.702001312281936e-05
81,6.921282142790111e-05,7.716858817730099e-05
82,6.920655176901932e-05,7.699109119130298e-05
83,6.915298026968901e-05,7.810538954799995e-05
84,6.912204542084828e-05,7.696561078773811e-05
85,6.911563327726998e-05,7.688341429457068e-05
86,6.90558984723661e-05,7.684314186917618e-05
87,6.904051401174867e-05,7.688929326832294e-05
88,6.899821282134423e-05,7.718722190475091e-05
89,6.895301127718711e-05,7.680001726839691e-05
90,6.88892290556184e-05,7.690780330449343e-05
91,6.889490079636532e-05,7.70794358686544e-05
92,6.885070608823121e-05,7.688513142056763e-05
93,6.880985414380438e-05,7.721266592852771e-05
94,6.879762171214396e-05,7.667786849197e-05
95,6.875074879606525e-05,7.68510508351028e-05
96,6.870891477220954e-05,7.678558904444799e-05
97,6.868791818083037e-05,7.683246076339856e-05
98,6.868280290054651e-05,7.679278496652842e-05
99,6.864748542579637e-05,7.672810170333833e-05
100,6.862095497162602e-05,7.665537123102695e-05
101,6.855789483846979e-05,7.672936044400558e-05
102,6.857498431865361e-05,7.67256788094528e-05
103,6.852481265849597e-05,7.67635865486227e-05
104,6.850177305812713e-05,7.669263140996918e-05
105,6.846889033272197e-05,7.697498222114518e-05
106,6.841776611837807e-05,7.68938843975775e-05
107,6.839565397661238e-05,7.705092866672203e-05
108,6.837323800540864e-05,7.649884355487302e-05
109,6.836924393487827e-05,7.660552364541218e-05
110,6.830323507502965e-05,7.658915274078026e-05
111,6.830332045795428e-05,7.68003155826591e-05
112,6.826135148622041e-05,7.657748938072473e-05
113,6.826366338411513e-05,7.642569107702002e-05
114,6.819073564126563e-05,7.652392378076911e-05
115,6.819158612258249e-05,7.656749221496284e-05
116,6.814820348458632e-05,7.639313844265416e-05
117,6.811881851437683e-05,7.661098061362281e-05
118,6.811552866988191e-05,7.647593156434596e-05
119,6.808825664553402e-05,7.648987957509235e-05
120,6.808244337574172e-05,7.674169319216162e-05
121,6.80301812932899e-05,7.658371032448485e-05
